index,title,keywords,cast,director,Img_links,Synopsys
4054,Impact Point,,Brian Austin Green Melissa Keller Linden Ashby Joe Manganiello Eddie Alfano,Hayley Cloake,"https://m.media-amazon.com/images/M/MV5BMTI0ODE3MTY4N15BMl5BanBnXkFtZTcwODI2MzY3MQ@@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","Pro Beach Volleyball star, Kelly Reyes, faces challenges everyday, fierce competitors, the press, but nothing could prepare her for him."
4055,The Valley of Decision,,Greer Garson Gregory Peck Donald Crisp Lionel Barrymore Preston Foster,Tay Garnett,"https://m.media-amazon.com/images/M/MV5BYjFiMDcwMGYtOTljYy00OWU3LWI4MzQtYjZhYTY4NDg0ZjJhXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","An Irish maid falls for the son of her wealthy boss, though their disapproving fathers and a bitter strike at the steel mill complicates matters."
4056,Eden,island airplane survival soccer crash,Jessica Lowndes Ethan Peck Diego Boneta Nate Parker Mario Casas,Shyam Madiraju,"https://m.media-amazon.com/images/M/MV5BNzAxNTg3NTUzN15BMl5BanBnXkFtZTcwMTMwMDcwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A young Korean-American girl, abducted and forced into prostitution by domestic human traffickers, cooperates with her captors in a desperate ploy to survive."
4057,Chicken Tikka Masala,coming out arranged marriage gay relationship,Chris Bisson Saeed Jaffrey Sally Bankes Peter Ash Zohra Sehgal,Harmage Singh Kalirai,"https://m.media-amazon.com/images/M/MV5BMTcxMjU0MjQzMl5BMl5BanBnXkFtZTcwMDcwNTIzMQ@@._V1_UY268_CR7,0,182,268_AL__QL50.jpg","Jimi is surprised when his family announces an arranged wedding to Simran, especially as he is gay and has a boyfriend, Jack. The easy way out? No - he decides to arrange something a little unorthodox instead."
4058,There's Always Woodstock,woman director,Allison Miller James Wolk Katey Sagal Rumer Willis Brittany Snow,Rita Merson,"https://m.media-amazon.com/images/M/MV5BMjIzNzI2NDA3Ml5BMl5BanBnXkFtZTgwNDkyNDUwMzE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When Neurotic, struggling songwriter, Catherine Brown's life in New York City falls apart, she is forced to confront her past when she spends the summer at her childhood home in Woodstock, ... See full summary »"
4059,Jack Brooks: Monster Slayer,camping vomit demon science,Robert Englund Trevor Matthews Daniel Kash David Fox Dean Hawes,Jon Knautz,"https://m.media-amazon.com/images/M/MV5BOGNiNjMyYWMtYWMwZC00MDgwLTllNzMtYjUzNzVhNjRhYjNiXkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A troubled young man still mourning the childhood loss of his family now has to deal with his professor being turned into a monster.
4060,The Best Years of Our Lives,usa post traumatic stress  disorder war veteran world war ii rehabilitation,Fredric March Myrna Loy Dana Andrews Teresa Wright Virginia Mayo,William Wyler,"https://m.media-amazon.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.
4061,Bully,florida striptease homosexuality independent film best friend,Brad Renfro Bijou Phillips Nick Stahl Rachel Miner Michael Pitt,Larry Clark,"https://m.media-amazon.com/images/M/MV5BNGY2NjNkYjEtY2M5Ni00NzQwLTk1MjctYjEzOWFmNWE2NGZjL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A pack of naïve teenagers conspire to murder a mutual friend, whose aggressive demeanor has proved too much."
4062,Elling,mentally disabled,Per Christian Ellefsen Sven Nordin J\u00f8rgen Langhelle Marit Pia Jacobsen Per Christensen,Petter N\u00e6ss,"https://m.media-amazon.com/images/M/MV5BMzczMzg1NzM3Nl5BMl5BanBnXkFtZTYwNjQ5ODc5._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When his mother, who has sheltered him his entire 40 years, dies, Elling, a sensitive, would-be poet, is sent to live in a state institution. There he meets Kjell Bjarne, a gentle giant and... See full summary »"
4063,Mi America,new york state hate crime,Robert Fontaine Michael Brainard Grant Boyd Michael Derek Lily Autumn Page,Robert Fontaine,"https://m.media-amazon.com/images/M/MV5BMjQxNzc3MDE0OF5BMl5BanBnXkFtZTgwNjQwMTg3NjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A hate-crime has been committed in a the small city of Braxton, N.Y. Five migrant laborers have been beaten, shot, then ditched. This will upset the delicate balance of an ethnically diverse populace."
4064,[REC],terror obsession camcorder firemen religion and supernatural,Manuela Velasco Ferran Terraza Martha Carbonell David Vert Carlos Lasarte,Jaume Balaguer\u00f3,"https://m.media-amazon.com/images/M/MV5BZTJmNTZlZWUtZTQ2Yi00YTFjLWFiNzctYzFlNmZmZGMzYTlmXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_UY268_CR4,0,182,268_AL__QL50.jpg",A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.
4065,Lies in Plain Sight,suicide family secrets blind woman director,Martha Higareda Chad Michael Murray Yul Vazquez Benito Martinez Cheyenne Haynes,Patricia Cardoso,"https://m.media-amazon.com/images/M/MV5BMTQ1MTA0MzU2Nl5BMl5BanBnXkFtZTcwNDkwMDMzNQ@@._V1_UY268_CR2,0,182,268_AL__QL50.jpg","The story of Eva and her blind cousin Sofia (Martha Higareda), who were inseparable as children, with Eva the loyal companion who helped Sofia through her tough adolescent years. When Eva ... See full summary »"
4066,Sharkskin,,,,"https://m.media-amazon.com/images/M/MV5BMjQxMTgxNDgxNF5BMl5BanBnXkFtZTgwNzQxMDc5NzE@._V1_UY268_CR9,0,182,268_AL__QL50.jpg",Italian tailor Mike Esposito makes suits for mafia Don Piano and falls into a moral dilemma.
4067,Containment,,Louise Brealey Lee Ross Sheila Reid Pippa Nixon Claire Greasley,Neil Mcenery-West,"https://m.media-amazon.com/images/M/MV5BOWIzNDhjYmQtMDEyOS00OWFiLTlkNGQtNjJjN2IwOWZkNWY1XkEyXkFqcGdeQXVyMTY3MjM0ODQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The series follows an epidemic that breaks out in Atlanta, leaving the large city quarantined and those stuck on the inside fighting for their lives."
4068,The Timber,,James Ransone Elisa Lasowski Josh Peck Attila \u00c1rpa William Gaunt,Anthony O'Brien,"https://m.media-amazon.com/images/M/MV5BMTg5NjczMzA3Nl5BMl5BanBnXkFtZTgwODgyNjU1MzE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In the wild west, two brothers embark on a journey to collect a bounty in a desperate attempt to save their home: but what they find along the way is more than they bargained for."
4069,From Russia with Love,venice london england terror england assassination,Sean Connery Daniela Bianchi Pedro Armend\u00e1riz Lotte Lenya Robert Shaw,Terence Young,"https://m.media-amazon.com/images/M/MV5BMTQxNTIzMTExN15BMl5BanBnXkFtZTcwODI4MDgzNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.
4070,The Toxic Avenger Part II,japan new jersey sequel superhero gore,Ron Fazio John Altamura Phoebe Legere Rick Collins Rikiya Yasuoka,Lloyd Kaufman,"https://m.media-amazon.com/images/M/MV5BODhiNTljYTctMmIzZC00ZGVkLTk2NmItN2RjMzY3ZTYyNDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The Toxic Avenger is tricked into traveling to Tokyo to search for his estranged father, leaving Tromaville open to complete domination by an evil corporation."
4071,Sleeper,sex revolution future dystopia government,Woody Allen Diane Keaton John Beck Mary Gregory Brian Avery,Woody Allen,"https://m.media-amazon.com/images/M/MV5BMTUzMzY1MzI3Nl5BMl5BanBnXkFtZTcwOTM4OTYwNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A nerdish store owner is revived out of cryostasis into a future world to fight an oppressive government.
4072,It Follows,chase supernatural friends vision school,Maika Monroe Keir Gilchrist Daniel Zovatto Jake Weary Olivia Luccardi,David Robert Mitchell,"https://m.media-amazon.com/images/M/MV5BMmU0MjBlYzYtZWY0MC00MjliLWI3ZmUtMzhlZDVjMWVmYWY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A young woman is followed by an unknown supernatural force after a sexual encounter.
4073,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,transsexuality perversity sperm orgasm sodomy,Woody Allen John Carradine Lou Jacobi Louise Lasser Anthony Quayle,Woody Allen,"https://m.media-amazon.com/images/M/MV5BMTQ2ODA3Mzc3Ml5BMl5BanBnXkFtZTcwNTkyNzYzNA@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Seven stories are trying to answer the question: what is sex? Or maybe they are not trying.
4074,To Kill a Mockingbird,black people based on novel brother sister relationship becoming an adult isolation,Gregory Peck Brock Peters James Anderson Mary Badham Phillip Alford,Robert Mulligan,"https://m.media-amazon.com/images/M/MV5BNmVmYzcwNzMtMWM1NS00MWIyLThlMDEtYzUwZDgzODE1NmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
4075,Mad Max 2: The Road Warrior,explosive boomerang pilot chase post-apocalyptic,Mel Gibson Bruce Spence Michael Preston Max Phipps Vernon Wells,George Miller,"https://m.media-amazon.com/images/M/MV5BN2VlNjNhZWQtMTY2OC00Y2E1LWJkNGUtMDU4M2ViNzliMGYwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline rich community escape a horde of bandits."
4076,The Legend of Drunken Master,father son relationship martial arts showdown fistfight friendship,Jackie Chan Anita Mui Ti Lung Felix Wong Liu Chia-Liang,Liu Chia-Liang,"https://m.media-amazon.com/images/M/MV5BMjhhZDI4ZjItZjJkOS00NTJiLWJlNjMtOGI3Y2E3YzQ3MjNhXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A young martial artist is caught between respecting his pacifist father's wishes or stopping a group of disrespectful foreigners from stealing precious artifacts.
4077,Boys Don't Cry,rape sex identity small town love,Hilary Swank Chlo\u00eb Sevigny Peter Sarsgaard Brendan Sexton III Alicia Goranson,Kimberly Peirce,"https://m.media-amazon.com/images/M/MV5BN2YyODgyYjMtN2ZiZC00OWMzLTg1NjgtZGIwN2NlYTYxMTkwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska."
4078,Silent House,supernatural remake suspense beer bottle real time,Elizabeth Olsen Adam Trese Eric Sheffer Stevens Julia Taylor Ross Adam Barnett,Chris Kentis,"https://m.media-amazon.com/images/M/MV5BMTUzOTc2NjQ3MV5BMl5BanBnXkFtZTcwNzk3ODUzNw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A girl is trapped inside her family's lakeside retreat and becomes unable to contact the outside world as supernatural forces haunt the house with mysterious energy and consequences.
4079,The Lives of Others,germany berlin suicide berlin wall corruption,Martina Gedeck Ulrich M\u00fche Sebastian Koch Ulrich Tukur Thomas Thieme,Florian Henckel von Donnersmarck,"https://m.media-amazon.com/images/M/MV5BOThkM2EzYmMtNDE3NS00NjlhLTg4YzktYTdhNzgyOWY3ZDYzXkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_UY268_CR3,0,182,268_AL__QL50.jpg","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
4080,Courageous,father faith,Alex Kendrick Ken Bevel Ben Davies Kevin Downes Rusty Martin,Alex Kendrick,"https://m.media-amazon.com/images/M/MV5BMjEyODMxNjM4OF5BMl5BanBnXkFtZTcwMTg5OTg3NQ@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg","When a tragedy strikes close to home, four police officers struggle with their faith and their roles as husbands and fathers; together they make a decision that will change all of their lives."
4081,The Hustler,suicide gambling manager alcohol based on novel,Paul Newman Jackie Gleason Piper Laurie George C. Scott Myron McCormick,Robert Rossen,"https://m.media-amazon.com/images/M/MV5BNjhjODI2NTItMGE1ZS00NThiLWE1MmYtOWE3YzcyNzY1MTJlXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An up-and-coming pool player plays a long-time champion in a single high-stakes match.
4082,Boom Town,partnership oil oil tycoon wildcatter oil field,Clark Gable Spencer Tracy Claudette Colbert Hedy Lamarr Frank Morgan,Jack Conway,"https://m.media-amazon.com/images/M/MV5BMmJhYTJlNGQtMTdkYi00OTA5LWE0NTktMmQ2MDgyMmJmNGQ4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Two buddies who rise from fly-by-night wildcatters to oil tycoons over a twenty year period both love the same woman.
4083,The Triplets of Belleville,france kidnapping boy biker tour de france,B\u00e9atrice Bonifassi Lina Boudreau Mich\u00e8le Caucheteux Jean-Claude Donda Mari-Lou Gauthier,Sylvain Chomet,"https://m.media-amazon.com/images/M/MV5BMjAzMzUxNzc5M15BMl5BanBnXkFtZTgwODc2NDE2MDE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
4084,Smoke Signals,,Adam Beach Evan Adams Irene Bedard Gary Farmer Tantoo Cardinal,Chris Eyre,"https://m.media-amazon.com/images/M/MV5BMjA4MjU1NTg0NF5BMl5BanBnXkFtZTgwODYwMDQ1MjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Young Indian man Thomas is a nerd in his reservation, wearing oversize glasses and telling everyone stories no-one wants to hear. His parents died in a fire in 1976, and Thomas was saved by... See full summary »"
4085,American Splendor,biography independent film v.a. hospital junk sale jellybean,Paul Giamatti Hope Davis Judah Friedlander James Urbaniak Harvey Pekar,Shari Springer Berman,"https://m.media-amazon.com/images/M/MV5BMjA0MjYxNjY1MV5BMl5BanBnXkFtZTcwNDkwMjAwMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.
4086,Before Sunset,paris journalist dialogue talking soulmates,Ethan Hawke Julie Delpy Vernon Dobtcheff Louise Lemoine Torr\u00e8s Mariane Plasteig,Richard Linklater,"https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
4087,Amores perros,homeless person mexico city daughter secret love dogfight,Gael Garc\u00eda Bernal Vanessa Bauche Goya Toledo Alvaro Guerrero Emilio Echevarr\u00eda,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,"https://m.media-amazon.com/images/M/MV5BMWJhOTg5MWQtYTJjMi00YmFkLTg4ODgtYmU2YWVhODQ4ZDM3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
4088,Thirteen,cheating dysfunctional family teen angst underage drinking domestic violence,Evan Rachel Wood Nikki Reed Vanessa Hudgens Holly Hunter Brady Corbet,Catherine Hardwicke,"https://m.media-amazon.com/images/M/MV5BMTYzNDYxNzY2MF5BMl5BanBnXkFtZTYwNzk2NTc3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend."
4089,Gentleman's Agreement,anti semitism soldier,Gregory Peck Dorothy McGuire John Garfield Celeste Holm Anne Revere,Elia Kazan,"https://m.media-amazon.com/images/M/MV5BMTZhYWIxNmMtYzE2OS00YzljLWI2YTQtZTE0NDU5ZDQwZTc0L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred."
4090,Winter's Bone,father court bail drug trade girl,Jennifer Lawrence John Hawkes Kevin Breznahan Dale Dickey Garret Dillahunt,Debra Granik,"https://m.media-amazon.com/images/M/MV5BMjA0OTM3MDMxNF5BMl5BanBnXkFtZTcwMDY1MjI0Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.
4091,Touching the Void,wound mountaineer peru sport glacier,Brendan Mackey Nicholas Aaron Richard Hawking Ollie Ryall Joe Simpson,Kevin Macdonald,"https://m.media-amazon.com/images/M/MV5BMjExMzQ1NzMxOV5BMl5BanBnXkFtZTcwOTcyMDUyMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",The true story of two climbers and their perilous journey up the west face of Siula Grande in the Peruvian Andes in 1985.
4092,Alexander's Ragtime Band,dance ragtime concert tour,Tyrone Power Alice Faye Don Ameche Ethel Merman Jack Haley,Henry King,"https://m.media-amazon.com/images/M/MV5BZWI4NzQ1N2UtNTgzYi00Zjg3LTg2NWItNTVlZDlkMGRiMWQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",This send-up of ragtime song and dance begins in 1915 San Francisco when society boy Roger Grant decides to pursue popular rather than serious music.
4093,Me and You and Everyone We Know,brother brother relationship playground independent film sex talk art gallery,Miranda July John Hawkes Brandon Ratcliff Miles Thompson Carlie Westerman,Miranda July,"https://m.media-amazon.com/images/M/MV5BMTM0NTY1ODI4NF5BMl5BanBnXkFtZTYwNzQ2OTc3._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A lonely shoe salesman and an eccentric performance artist struggle to connect in this unique take on contemporary life.
4094,Inside Job,corruption capitalism globalization bank banker,Matt Damon William Ackman Barack Obama George W. Bush Jonathan Alpert,Charles Ferguson,"https://m.media-amazon.com/images/M/MV5BMTQ3MjkyODA2Nl5BMl5BanBnXkFtZTcwNzQxMTU4Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",Takes a closer look at what brought about the 2008 financial meltdown.
4095,We Are Your Friends,dj,Zac Efron Emily Ratajkowski Wes Bentley Nick Rotteveel Alessandro Lindblad,Max Joseph,"https://m.media-amazon.com/images/M/MV5BMjE2NjIxODUxNF5BMl5BanBnXkFtZTgwMjI1MzM1NjE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Caught between a forbidden romance and the expectations of his friends, aspiring DJ Cole Carter attempts to find the path in life that leads to fame and fortune."
4096,Ghost Dog: The Way of the Samurai,deportation hitman mission of murder book code,Forest Whitaker Cliff Gorman Tricia Vessey Henry Silva Victor Argo,Jim Jarmusch,"https://m.media-amazon.com/images/M/MV5BZWQxZTJmN2YtMjdmMS00ZTFmLTk5ZDYtODA4ZDA1YWQ2MjMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.
4097,Harsh Times,watching a movie playing pool vinegar,Christian Bale Freddy Rodr\u00edguez Eva Longoria Chaka Forman Tammy Trull,David Ayer,"https://m.media-amazon.com/images/M/MV5BMTk0Mzc1NTY1N15BMl5BanBnXkFtZTYwMTMxOTY3._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A tough-minded drama about two friends in South Central Los Angeles and the violence that comes between them.
4098,Captive,hostage based on true story murder independent film single mother,Kate Mara David Oyelowo Michael Kenneth Williams Mimi Rogers Leonor Varela,Jerry Jameson,"https://m.media-amazon.com/images/M/MV5BZmQxMzEwYWYtYmE5OS00ODczLWJiYzUtYTcxYjAwYjQ3OWQ5XkEyXkFqcGdeQXVyNzgwNzgyMTE@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","Following a break-in, Scott and Mara decide to install a deluxe home security system and give their new nanny all of the pass codes. With the codes, the nanny torments the couple by controlling the smart home's system from her laptop."
4099,Full Frontal,independent film,David Duchovny Nicky Katt Catherine Keener Mary McCormack David Hyde Pierce,Steven Soderbergh,"https://m.media-amazon.com/images/M/MV5BNzE5NjAwNDk3Nl5BMl5BanBnXkFtZTYwOTk3MjM3._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A day in the life of a group of men and women in Hollywood, in the hours leading up to a friend's birthday party."
4100,Witchboard,ax possession psychic power ouija ouija board,Stephen Nichols Tawny Kitaen Todd Allen Kathleen Wilhoite Burke Byrnes,Kevin Tenney,"https://m.media-amazon.com/images/M/MV5BYTEzYjE4ZWQtYjEzNC00NzU4LTg1YmMtNDk4MDExMzU2YjdjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","When his girlfriend becomes dangerously obsessed with a ghost she contacted using an ouija board, Jim reluctantly joins forces with her ex - his own estranged childhood best friend - to identify and exorcise the evil spirit."
4101,Shortbus,gay new york free love swinger club transsexuality,Sook-Yin Lee Paul Dawson PJ DeBoy Jay Brannan Lindsay Beamish,John Cameron Mitchell,"https://m.media-amazon.com/images/M/MV5BZjkwMTk1OWMtZjg4ZC00YWVlLTkyZGItZTU4ZjQ5NDM0M2NkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality."
4102,Waltz with Bashir,israel palestine middle east lebanon nightmare,Ari Folman Ron Ben-Yishai Dror Harazi Ronny Dayag,Ari Folman,"https://m.media-amazon.com/images/M/MV5BNjM2OTI3NzQyNl5BMl5BanBnXkFtZTcwNjkzNzQ5MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.
4103,"The Book of Mormon Movie, Volume 1: The Journey",,Kirby Heyborne Michael Flynn,,"https://m.media-amazon.com/images/M/MV5BMGIzNmY5MjQtOTRmNy00YzNkLTkyMTUtMzk1NGMwZTA3ODRhXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UY268_CR43,0,182,268_AL__QL50.jpg","The story of Lehi and his wife Sariah and their four sons: Laman, Lemuel, Sam, and Nephi. Lehi leaves Jerusalem because he prophesied unto the people concerning the destruction of Jerusalem... See full summary »"
4104,No End in Sight,white house occupying power independent film incompetence irak,Campbell Scott Gerald Burke Ali Fadhil Robert Hutchings,Charles Ferguson,"https://m.media-amazon.com/images/M/MV5BMTg0NDYzODE4OV5BMl5BanBnXkFtZTcwMjAyOTk0MQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A comprehensive look at the Bush Administration's conduct of the Iraq war and its occupation of the country.
4105,The Diary of a Teenage Girl,1970s teenage girl older man younger woman relationship based on graphic novel teenage sexuality,Bel Powley Kristen Wiig Alexander Skarsg\u00e5rd Christopher Meloni Austin Lyon,Marielle Heller,"https://m.media-amazon.com/images/M/MV5BMjE4MTQ3NTgwOF5BMl5BanBnXkFtZTgwMDQ3NTc5NTE@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A teen artist living in 1970s San Francisco enters into an affair with her mother's boyfriend.
4106,In the Shadow of the Moon,nasa space mission rocket moon landing space,Buzz Aldrin Michael Collins Alan Bean Eugene Cernan Charles Duke,David Sington,"https://m.media-amazon.com/images/M/MV5BN2I1MGQ2ZjMtMjc1My00YzU1LThjNzktNzJlMWRkMTc0NjZhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg",A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.
4107,Meek's Cutoff,gold oregon thirst tree settler,Michelle Williams Bruce Greenwood Will Patton Zoe Kazan Paul Dano,Kelly Reichardt,"https://m.media-amazon.com/images/M/MV5BMTM0MzQzMjUxM15BMl5BanBnXkFtZTcwNzgyNjg0NA@@._V1_UY268_CR0,0,182,268_AL__QL50.jpg",Settlers traveling through the Oregon desert in 1845 find themselves stranded in harsh conditions.
4108,Inside Deep Throat,usa 1970s sexual revolution unsimulated sex,Dennis Hopper Peter Bart Warren Beatty Carl Bernstein,Fenton Bailey,"https://m.media-amazon.com/images/M/MV5BMTYyOTkyMjk5MV5BMl5BanBnXkFtZTcwMzI2MDgyMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","An examination of the infamous pornographic film Deep Throat (1972), covering aspects from the film's creation to its cultural impact."
4109,Dinner Rush,,Danny Aiello John Rothman Frank Bongiorno Lexie Sperduto Zainab Jah,Bob Giraldi,"https://m.media-amazon.com/images/M/MV5BMjEwNjM4MjQ0Nl5BMl5BanBnXkFtZTcwNDk3ODYxMQ@@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","At a popular NYC Italian restaurant on a dramatic, busy evening, there are 2 gangsters, cop detective, food-critic, ex bookmaker owner, his chef son, indebted gambler sous-chef etc."
4110,Clockwatchers,independent film woman director,Toni Collette Parker Posey Lisa Kudrow Alanna Ubach Helen FitzGerald,Jill Sprecher,"https://m.media-amazon.com/images/M/MV5BYzZlNDE3MzYtNDg4MC00ODMwLTk5NzktNjBjZDA3YTVkNzViXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","The relationship between four female temps all working for the same credit company is threatened with the arrival of a new hire, who lands a permanent position one of the women was vying for."
4111,The Virginity Hit,loss of virginity teenage boy teen comedy teenage sexuality found footage,Matt Bennett Zack Pearlman Jacob Davich Justin Kline Krysta Rodriguez,Huck Botko,"https://m.media-amazon.com/images/M/MV5BMTM0NzI4MTg2MF5BMl5BanBnXkFtZTcwODM2NDY4Mw@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","Four guys, one camera, and their experience chronicling the exhilarating and terrifying rite of passage: losing your virginity. As these guys help their buddy get laid, they'll have to ... See full summary »"
4112,Subway,paris culture clash subway metropolis blackmail,Isabelle Adjani Christopher Lambert Richard Bohringer Michel Galabru Jean-Hugues Anglade,Luc Besson,"https://m.media-amazon.com/images/M/MV5BNWU2YjBmYWItYThkYy00ZDA5LWIzZDAtYjVkYmE5MTMxZjA3XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL__QL50.jpg","On improvising a burglary at a shady tycoon's home, Fred takes refuge in the hip and surreal universe of the Paris Metro and encounters its assorted denizens, the tycoon's henchmen and his disenchanted young wife."
4113,House of D,self-discovery friendship,Robin Williams David Duchovny Anton Yelchin T\u00e9a Leoni Erica Tazel,David Duchovny,"https://m.media-amazon.com/images/M/MV5BMjE4OTQzOTM4Ml5BMl5BanBnXkFtZTcwNzE1MzgyMQ@@._V1_UX182_CR0,0,182,268_AL__QL50.jpg","By working through problems stemming from his past, Tom Warshaw, an American artist living in Paris, begins to discover who he really is, and returns to his home to reconcile with his family and friends."
